"activity_id","religious_group_id"
1480,"11688"
1481,"11688"
1482,"3090"
1483,"45"
1484,"45"
1485,"45"
1486,"20"
1487,"3810"
1488,"2029"
1489,"8853"
1490,"11101"
1491,"11101"
1492,"11101"
1493,"6108"
1494,"6108"
1495,"3314"
1496,"3314"
1497,"3314"
1498,"1634"
1499,"421"
1500,"13008"
1501,"9712"
1502,"6546"
1503,"2231"
1504,"2231"
1505,"7310"
1506,"176"
1507,"444"
1508,"6368"
1509,"1559"
1510,"1311"
1511,"2160"
1512,"3665"
1513,"1420"
1514,"1304"
1515,"10988"
1516,"239"
1517,"5550"
1518,"460"
1519,"1681"
1520,"10579"
1521,"10579"
1522,"10579"
1523,"10579"
1524,"10579"
1525,"10579"
1526,"576"
1527,"576"
1528,"576"
1529,"7428"
1530,"5268"
1531,"11622"
1532,"9234"
1533,"4975"
1534,"10724"
1535,"900"
1536,"9612"
1537,"1143"
1538,"2373"
1539,"2373"
1540,"2373"
1541,"9022"
1542,"11655"
1543,"11655"
1544,"11655"
1545,"11655"
1546,"1872"
1547,"9785"
1548,"8651"
1549,"8651"
1550,"973"
1551,"8642"
1552,"5072"
1553,"10885"
1554,"8158"
1555,"11484"
1556,"11484"
1557,"9432"
1558,"5835"
1559,"6214"
1560,"6214"
1561,"6214"
1562,"791"
1563,"1901"
1564,"9758"
1565,"6726"
1566,"3544"
1567,"7776"
1568,"8376"
1569,"8378"
1570,"8039"
1571,"8039"
1572,"853"
1573,"10072"
1574,"10072"
1575,"10072"
1576,"10072"
1577,"2991"
1578,"3400"
1579,"5075"
1580,"603"
1581,"2387"
1582,"388"
1583,"826"
1584,"826"
1585,"826"
1586,"200"
1587,"2449"
1588,"2449"
1589,"2449"
1590,"2449"
1591,"2611"
1592,"4858"
1593,"2480"
1594,"7546"
1595,"7546"
1596,"7546"
1597,"7546"
1598,"4190"
1599,"4190"
1600,"1573"
1601,"1573"
1602,"1573"
1603,"1573"
1604,"1573"
1605,"1573"
1606,"1573"
1607,"1573"
1608,"1573"
1609,"1573"
1610,"1636"
1611,"1636"
1612,"1522"
1613,"9377"
1614,"796"
1615,"6102"
1616,"3413"
1617,"12"
1618,"11088"
1619,"8603"
1620,"763"
1621,"58"
1622,"3018"
1623,"5872"
1624,"5860"
1625,"122"
1626,"753"
1627,"753"
1628,"6012"
1629,"3607"
1630,"2166"
1631,"627"
1632,"8158"
1633,"4160"
1634,"10210"
1635,"7862"
1636,"149"
1637,"6854"
1638,"6854"
1639,"1168"
1640,"5724"
1641,"5724"
1642,"239"
1643,"245"
1644,"245"
1645,"11368"
1646,"11368"
1647,"11368"
1648,"96"
1649,"561"
1650,"11537"
1651,"3399"
1652,"5593"
1653,"3196"
1654,"2110"
1655,"2110"
1656,"2110"
1657,"2110"
1658,"2110"
1659,"3905"
1660,"2133"
1661,"259"
1662,"501"
1663,"501"
1664,"501"
1665,"4695"
1666,"4"
1667,"11585"
1668,"2765"
1669,"9668"
1670,"2028"
1671,"7670"
1672,"2"
1673,"1323"
1674,"627"
1675,"627"
1676,"627"
1677,"1509"
1678,"2544"
1679,"5461"
1680,"5349"
1681,"5349"
1682,"5349"
1683,"5349"
1684,"5349"
1685,"5349"
1686,"5518"
1687,"5923"
1688,"9753"
1689,"10514"
1690,"10514"
1691,"10514"
1692,"10514"
1693,"10514"
1694,"10514"
1695,"7071"
1696,"7071"
1697,"7071"
1698,"7071"
1699,"56"
1700,"3694"
1701,"5043"
1702,"5043"
1703,"12594"
1704,"8127"
1705,"3098"
1706,"64"
1707,"64"
1708,"64"
1709,"12255"
1710,"2369"
1711,"142"
1712,"6307"
1713,"6307"
1714,"6307"
1715,"5720"
1716,"5720"
1717,"2262"
1718,"29"
1719,"29"
1720,"71"
1721,"71"
1722,"71"
1723,"4600"
1724,"7439"
1725,"8742"
1726,"9243"
1727,"7091"
1728,"7091"
1729,"1243"
1730,"3957"
1731,"3957"
1732,"3957"
1733,"12663"
1734,"871"
1735,"5220"
1736,"3440"
1737,"3090"
1738,"3090"
1739,"2065"
1740,"11472"
1741,"2309"
1742,"56"
1743,"56"
1744,"56"
1745,"3366"
1746,"3212"
1747,"3212"
1748,"562"
1749,"2850"
1750,"2663"
1751,"2663"
1752,"2663"
1753,"11528"
1754,"526"
1755,"2298"
1756,"4087"
1757,"9825"
1758,"9769"
1759,"1118"
1760,"9755"
1761,"7903"
1762,"7903"
1763,"7903"
1764,"3499"
1765,"121"
1766,"11985"
1767,"3694"
1768,"3694"
1769,"4810"
1770,"4810"
1771,"4810"
1772,"208"
1773,"2993"
1774,"2993"
1775,"2993"
1776,"8772"
1777,"8383"
1778,"8383"
1779,"2032"
1780,"2032"
1781,"2032"
1782,"2032"
1783,"2032"
1784,"2032"
1785,"2032"
1786,"2032"
1787,"2032"
1788,"2032"
1789,"2032"
1790,"2032"
1791,"2032"
1792,"2032"
1793,"2032"
1794,"2032"
1795,"2032"
1796,"7720"
1797,"7720"
1798,"4968"
1799,"7918"
1800,"7918"
1801,"11467"
1802,"1748"
1803,"1748"
1804,"1748"
1805,"4501"
1806,"7286"
1807,"353"
1808,"1871"
1809,"1500"
1810,"1500"
1811,"80"
1812,"6788"
1813,"3716"
1814,"719"
1815,"719"
1816,"9677"
1817,"4251"
1818,"4251"
1819,"3686"
1820,"1855"
1821,"56"
1822,"32"
1823,"8756"
1824,"310"
1825,"3194"
1826,"7897"
1827,"7897"
1828,"1304"
1829,"1304"
1830,"5682"
1831,"11846"
1832,"11846"
1833,"11846"
1834,"10501"
1835,"75"
1836,"7778"
1837,"4482"
1838,"11985"
1839,"6541"
1840,"3961"
1841,"9775"
1842,"9775"
1843,"9775"
1844,"9775"
1845,"421"
1846,"421"
1847,"421"
1848,"421"
1849,"421"
1850,"6427"
1851,"6427"
1852,"11386"
1853,"5724"
1854,"5724"
1855,"5074"
1856,"9453"
1857,"225"
1858,"225"
1859,"225"
1860,"10971"
1861,"10971"
1862,"10971"
1863,"10971"
1864,"10971"
1865,"10971"
1866,"10971"
1867,"10971"
1868,"10971"
1869,"10971"
1870,"10971"
1871,"10971"
1872,"2459"
1873,"6781"
1874,"6781"
1875,"3185"
1876,"2997"
1877,"2997"
1878,"7031"
1879,"12169"
1880,"11104"
1881,"198"
1882,"9310"
1883,"12109"
1884,"2483"
1885,"2483"
1886,"2513"
1887,"2513"
1888,"10121"
1889,"1023"
1890,"96"
1891,"10784"
1892,"10784"
1893,"10784"
1894,"10784"
1895,"10784"
1896,"10784"
1897,"295"
1898,"900"
1899,"4367"
1900,"6470"
1901,"2814"
1902,"2814"
1903,"8942"
1904,"29"
1905,"29"
1906,"11282"
1907,"11282"
1908,"11282"
1909,"9323"
1910,"838"
1911,"4262"
1912,"4262"
1913,"4380"
1914,"59"
1915,"59"
1916,"59"
1917,"23"
1918,"23"
1919,"2326"
